iter	Passed	Remaining
0	2	211
1	4	203
2	5	193
3	7	177
4	9	176
5	11	173
6	12	172
7	14	171
8	16	170
9	18	168
10	20	166
11	22	167
12	24	166
13	26	164
14	28	163
15	30	161
16	32	159
17	34	156
18	36	154
19	38	152
20	40	150
21	41	148
22	43	147
23	46	145
24	47	143
25	49	141
26	51	140
27	54	138
28	56	138
29	58	136
30	60	135
31	62	133
32	64	130
33	66	128
34	68	127
35	71	126
36	72	124
37	74	122
38	76	120
39	78	117
40	80	115
41	80	111
42	82	109
43	84	107
44	86	106
45	89	104
46	91	102
47	93	100
48	94	98
49	97	97
50	100	96
51	102	94
52	104	92
53	107	91
54	109	89
55	111	87
56	113	85
57	120	86
58	124	86
59	133	89
60	135	86
61	137	84
62	139	82
63	141	79
64	143	77
65	145	74
66	148	73
67	150	70
68	152	68
69	155	66
70	157	64
71	161	62
72	163	60
73	165	58
74	169	56
75	173	54
76	175	52
77	180	50
78	183	48
79	184	46
80	186	43
81	188	41
82	190	39
83	193	36
84	196	34
85	197	32
86	200	29
87	203	27
88	205	25
89	208	23
90	210	20
91	212	18
92	214	16
93	216	13
94	218	11
95	220	9
96	224	6
97	227	4
98	229	2
99	231	0
